Apprentice,Status,Date
Apprentice 1,On-Track,2024-07-18
Apprentice 2,On-Track,2024-07-18
Apprentice 3,On-Track,2024-07-18
Apprentice 4,On-Track,2024-07-18
Apprentice 5,On-Track,2024-07-18
Apprentice 6,On-Track,2024-07-18
Apprentice 7,On-Track,2024-07-18
Apprentice 8,On-Track,2024-07-18
Apprentice 9,On-Track,2024-07-18
Apprentice 10,On-Track,2024-07-18
Apprentice 11,On-Track,2024-07-18
Apprentice 12,On-Track,2024-07-18
Apprentice 13,On-Track,2024-07-18
Apprentice 14,On-Track,2024-07-18
Apprentice 15,On-Track,2024-07-18
Apprentice 16,Off-Track,2024-07-18
Apprentice 17,On-Track,2024-07-18
Apprentice 18,On-Track,2024-07-18
Apprentice 19,On-Track,2024-07-18
Apprentice 20,On-Track,2024-07-18
Apprentice 21,Off-Track,2024-07-18
Apprentice 22,On-Track,2024-07-18
Apprentice 23,Off-Track,2024-07-18
Apprentice 24,Off-Track,2024-07-18
Apprentice 25,Off-Track,2024-07-18
Apprentice 26,On-Track,2024-07-18
Apprentice 27,On-Track,2024-07-18
Apprentice 28,On-Track,2024-07-18
Apprentice 29,On-Track,2024-07-18
Apprentice 30,On-Track,2024-07-18
Apprentice 31,On-Track,2024-07-18
Apprentice 32,On-Track,2024-07-18
Apprentice 33,On-Track,2024-07-18
Apprentice 34,On-Track,2024-07-18
Apprentice 35,Off-Track,2024-07-18
Apprentice 36,On-Track,2024-07-18
Apprentice 37,On-Track,2024-07-18
